epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,609.237,0.35894,0.25944,0.85394,0.99972,1,0.995,0.98141,0.23892,0.15665,0.74563,0.000317,0.000317,0.000317
87,616.296,0.33437,0.24971,0.85751,0.9998,1,0.995,0.98093,0.23052,0.15368,0.74445,0.0002972,0.0002972,0.0002972
88,623.547,0.32745,0.24646,0.85267,0.99985,1,0.995,0.97777,0.23855,0.15536,0.74642,0.0002774,0.0002774,0.0002774
89,630.869,0.33465,0.24544,0.84955,1,0.9997,0.995,0.97732,0.24012,0.15578,0.74778,0.0002576,0.0002576,0.0002576
90,638.202,0.32487,0.2398,0.85622,0.99976,1,0.995,0.98192,0.22274,0.14993,0.74411,0.0002378,0.0002378,0.0002378
91,646.408,0.21686,0.16445,0.77218,0.99568,1,0.995,0.97642,0.23616,0.15956,0.74471,0.000218,0.000218,0.000218
92,653.474,0.21132,0.15938,0.7713,0.99785,0.99662,0.995,0.97947,0.23753,0.15688,0.74522,0.0001982,0.0001982,0.0001982
93,660.535,0.20811,0.15605,0.77484,0.99833,1,0.995,0.982,0.22908,0.15682,0.74443,0.0001784,0.0001784,0.0001784
94,667.432,0.20152,0.15377,0.76815,0.99919,1,0.995,0.9837,0.22747,0.15252,0.74251,0.0001586,0.0001586,0.0001586
95,674.396,0.20125,0.14962,0.76368,0.99945,1,0.995,0.98726,0.21964,0.14527,0.74051,0.0001388,0.0001388,0.0001388
96,681.713,0.19077,0.14967,0.77693,0.99926,1,0.995,0.98759,0.21568,0.14211,0.74008,0.000119,0.000119,0.000119
97,688.835,0.18713,0.14686,0.76964,0.99938,1,0.995,0.98388,0.21808,0.14093,0.74172,9.92e-05,9.92e-05,9.92e-05
98,696.03,0.18115,0.1428,0.76724,0.99945,1,0.995,0.9871,0.21018,0.14028,0.74001,7.94e-05,7.94e-05,7.94e-05
99,703.218,0.18503,0.14309,0.7724,0.99958,1,0.995,0.98653,0.2095,0.14117,0.73961,5.96e-05,5.96e-05,5.96e-05
100,710.103,0.18279,0.14328,0.76775,0.99958,1,0.995,0.98773,0.20759,0.1379,0.73931,3.98e-05,3.98e-05,3.98e-05
